Time (s),Volume (m^3),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),H2OX(12),HX(9),NH2_X(20),NH_X(21),N2X2(23)
0.0,0.066515776,0.938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039362147337756934,0.01,0.05,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0
1.0320583128063716e-27,0.066515776,0.938,2.7306760863386296e-114,2.0266646046563565e-24,4.070066972738879e-71,8.623875934252204e-28,1.349147869364832e-25,0.0,0.0,0.039362147337756934,0.01,0.05,-1.2657926183713225e-120,6.790610350735502e-136,0.002,0.0,2.2359602016001443e-22,5.895814578617155e-25,5.887190702682903e-25,3.6225182508259116e-49,-1.2104944758018685e-141
2.8897632758578406e-27,0.066515776,0.938,1.6612035195262068e-112,5.6746608930377985e-24,4.831983510035599e-70,2.4146852615906167e-27,3.7776140342215293e-25,0.0,0.0,0.039362147337756934,0.01,0.05,3.2165276566686433e-109,7.503813484633924e-134,0.002,0.0,6.260688564480403e-22,1.6508280820128033e-24,1.6484133967512127e-24,2.1880010234988522e-48,5.53679509334554e-130
6.605173201960779e-27,0.066515776,0.938,7.499466758950649e-111,1.2970653469800681e-23,4.74407006342445e-69,5.519280597921404e-27,8.634546363934924e-25,0.0,0.0,0.039362147337756934,0.01,0.05,6.203303337884117e-108,6.788886206068745e-132,0.002,0.0,1.4310145290240911e-21,3.7733213303149795e-24,3.7678020497170574e-24,1.0534283073401781e-47,2.1909889155222354e-128
1.4035993054166656e-26,0.066515776,0.938,2.831655953620266e-109,2.7562638623326446e-23,4.1960762462149e-68,1.1728471270582963e-26,1.8348411023361713e-24,0.0,0.0,0.039362147337756934,0.01,0.05,1.0619136306557787e-106,5.137931432724471e-130,0.002,0.0,3.0409058741761895e-21,8.018307826919331e-24,8.006579355648747e-24,4.600598178548939e-47,7.530832297723542e-127
2.889763275857841e-26,0.066515776,0.938,9.824329939762836e-108,5.674660893037798e-23,3.527054917503996e-67,2.4146852615906013e-26,3.777614034221529e-24,0.0,0.0,0.039362147337756934,0.01,0.05,1.753053523286431e-105,3.569445904243484e-128,0.002,0.0,6.260688564480373e-21,1.6508280820128032e-23,1.6484133967512125e-23,1.9206591765879263e-46,2.489414261348914e-125
5.86209121674019e-26,0.066515776,0.938,3.2719120522608164e-106,1.1511454954448104e-22,2.8916927170522974e-66,4.898361530655184e-26,7.663159897992245e-24,0.0,0.0,0.039362147337756934,0.01,0.05,2.8479273723442485e-104,2.379020578336211e-126,0.002,0.0,1.2700253945088687e-20,3.348822680654544e-23,3.3439243191238886e-23,7.846519432019199e-46,8.09262479381512e-124
1.1806747098504892e-25,0.066515776,0.938,1.0680065886218586e-104,2.318504307726872e-22,2.3417677344655634e-65,9.86571406878424e-26,1.5434251625533678e-23,0.0,0.0,0.039362147337756934,0.01,0.05,4.591102020189307e-103,1.5535915541821643e-124,0.002,0.0,2.5579384706305102e-20,6.744811877938025e-23,6.734946163869241e-23,3.1716886094743236e-45,2.6098636713275453e-122
2.3696058862034295e-25,0.066515776,0.938,3.4516127455787485e-103,4.653221932290995e-22,1.88485840188651e-64,1.9800419145041923e-25,3.0976435080616536e-23,0.0,0.0,0.039362147337756934,0.01,0.05,7.373296295491056e-102,1.0043466379832379e-122,0.002,0.0,5.133764622873708e-20,1.353679027250499e-22,1.3516989853359943e-22,1.2753220402764262e-44,8.383918444619822e-121
4.74746823890931e-25,0.066515776,0.938,1.1099869317364313e-101,9.32265718141924e-22,1.512480163278232e-63,3.9669829297555555e-25,6.206080199078227e-23,0.0,0.0,0.039362147337756934,0.01,0.05,1.1819300371701199e-100,6.460168856324591e-121,0.002,0.0,1.0285416927359761e-19,2.712074706163891e-22,2.7081077232341352e-22,5.114611783232896e-44,2.6880305874542975e-119
9.503192944321071e-25,0.066515776,0.938,3.5607373683815286e-100,1.8661527679675732e-21,1.211824658343701e-62,7.940864960257589e-25,1.242295358111137e-22,0.0,0.0,0.039362147337756934,0.01,0.05,1.892850161869477e-99,4.144891743307635e-119,0.002,0.0,2.0588721536330501e-19,5.428866063990678e-22,5.420925199030417e-22,2.0485124806343177e-43,8.609980562830586e-118
